c-files	sizeInCharsC	sizeInCharsAST	comma-operators	main	main-argc	bitfields	max-array-dim	max-array-len-per-dim	arrays	pointers	structs	unions	packed-struct	divs	muls	pre-incr-operator	pre-decr-operator	post-incr-operator	post-decr-operator	unary-plus-operator	funcs	longlong	float	jump	volatiles	compound-assignment	consts	inline-function	volatile-pointers	const-pointers	global-variables	builtin-func	int8_t	uint8_t	int16_t	uint16_t	int32_t	uint32_t	int64_t	uint64_t
pr59386.c	141	605	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr79538.c	175	900	4	0	0	0	1	4	5	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	3	2	0	0	0	0	0	0	0	0
pr38359.c	262	781	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr31034.c	125	765	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
pr62070.c	132	897	2	0	0	0	2	8	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr29921.c	97	593	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr82498-2.c	496	2020	6	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr39431.c	202	925	9	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0
pr28162.c	150	757	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	1	0	4	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pr83963-2.c	318	1421	9	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	1	0	1	0	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr56607.c	174	1258	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
pr64208.c	163	1073	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	0	0	0	9	3	0	0	0	0	0	0	0	0
pr59413.c	135	611	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	3	1	0	0	0	0	0	2	0	0
pr71185.c	101	606	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
pr67400-3.c	48	340	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr61042.c	55	475	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
pr84512.c	97	569	0	0	0	0	1	10	1	0	0	0	0	0	1	2	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr53408.c	119	942	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0
pr42918.c	107	596	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0
pr85512.c	4233	26831	106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	29	0	0	0	0	55	25	0	0	0	0	0	0	0	0
pr60844.c	125	938	4	0	0	5	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr67517.c	146	613	4	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr50482.c	121	629	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr78957.c	5	58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr65105-2.c	40	311	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr33779-1.c	127	670	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr19988.c	62	322	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr78580.c	78	382	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
pr17322.c	58	355	0	0	0	0	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr81088.c	84	525	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr60461_0.c	182	955	2	1	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
pr71279.c	94	708	1	0	0	0	3	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0
pr39943.c	143	681	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr53550.c	66	480	2	0	0	0	1	0	0	5	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr46091-2.c	115	539	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr35899.c	48	375	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr71321.c	212	824	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0
pr59223.c	55	333	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr47148.c	316	1449	6	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
pr65014.c	103	358	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr36015.c	193	1246	14	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
pr33673.c	386	1964	3	0	0	0	1	2	2	3	0	0	0	0	0	0	0	5	0	0	2	0	0	1	0	5	0	0	0	0	5	2	0	0	0	0	0	0	0	0
pr58223.c	102	632	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	4	1	0	0	0	0	0	0	0	0
pr34027-2.c	38	254	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr40031.c	55	310	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr42347.c	173	557	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr80168.c	68	504	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr17656.c	138	737	5	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	1	0	0	1	3	1	0	0	0	0	0	0	0	0
pr85056a.c	32	235	9	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr46521.c	276	1220	4	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
pr47939-4.c	60	231	0	0	0	0	1	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
pr41837.c	364	2390	3	0	0	0	1	0	0	9	10	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	0	0
