VR,ST,RN,TI,C0,C3,C03,TC,T0,T3,T03,TT,MC
4.8.2,default,r1,10000,0,0,0,0,11,0,1278,1289,0
4.8.2,default,r2,10000,0,0,0,0,11,0,1219,1230,0
4.8.2,default,r3,10000,0,0,0,0,7,0,1252,1259,0
4.8.2,swarm,r1,10000,54,70,6,130,1203,20,1434,2657,47
4.8.2,swarm,r2,10000,60,65,4,129,1216,19,1413,2648,59
4.8.2,swarm,r3,10000,54,60,2,116,1234,15,1382,2631,51
4.8.2,kconfig,r1,10000,49,72,5,126,1275,17,1162,2454,72
4.8.2,kconfig,r2,10000,42,54,6,102,1254,15,1213,2482,69
4.8.2,kconfig,r3,10000,44,58,5,107,1277,16,1218,2511,79
5.4.0,default,r1,10000,0,0,0,0,12,0,1277,1289,1
5.4.0,default,r2,10000,0,0,0,0,12,0,1218,1230,0
5.4.0,default,r3,10000,0,0,0,0,8,0,1251,1259,0
5.4.0,swarm,r1,10000,0,0,0,0,1220,4,1450,2674,60
5.4.0,swarm,r2,10000,0,0,0,0,1216,8,1438,2662,66
5.4.0,swarm,r3,10000,0,0,0,0,1237,3,1399,2639,58
5.4.0,kconfig,r1,10000,0,0,0,0,1290,6,1178,2474,82
5.4.0,kconfig,r2,10000,0,0,0,0,1257,4,1236,2497,75
5.4.0,kconfig,r3,10000,0,0,0,0,1282,7,1238,2527,87
6.1.0,default,r1,10000,0,0,0,0,15,0,1275,1290,1
6.1.0,default,r2,10000,0,0,0,0,14,0,1216,1230,0
6.1.0,default,r3,10000,0,0,0,0,9,0,1250,1259,0
6.1.0,swarm,r1,10000,0,0,0,0,1246,3,1418,2667,62
6.1.0,swarm,r2,10000,0,0,0,0,1242,7,1410,2659,67
6.1.0,swarm,r3,10000,0,1,0,1,1270,3,1359,2632,62
6.1.0,kconfig,r1,10000,0,0,0,0,1307,7,1148,2462,84
6.1.0,kconfig,r2,10000,0,0,0,0,1280,5,1210,2495,75
6.1.0,kconfig,r3,10000,0,0,0,0,1306,6,1205,2517,86
7.1.0,default,r1,10000,0,0,0,0,14,0,1275,1289,1
7.1.0,default,r2,10000,0,0,0,0,14,0,1216,1230,0
7.1.0,default,r3,10000,0,0,0,0,9,0,1250,1259,0
7.1.0,swarm,r1,10000,0,0,0,0,1124,6,1518,2648,63
7.1.0,swarm,r2,10000,0,0,0,0,1132,8,1498,2638,70
7.1.0,swarm,r3,10000,0,0,0,0,1149,4,1453,2606,65
7.1.0,kconfig,r1,10000,0,0,0,0,1195,11,1233,2439,88
7.1.0,kconfig,r2,10000,0,0,0,0,1192,6,1284,2482,81
7.1.0,kconfig,r3,10000,0,0,0,0,1193,9,1294,2496,88
8.1.0,default,r1,10000,0,0,0,0,14,0,1275,1289,1
8.1.0,default,r2,10000,0,0,0,0,14,0,1216,1230,0
8.1.0,default,r3,10000,0,0,0,0,10,0,1250,1260,0
8.1.0,swarm,r1,10000,0,0,0,0,1121,6,1506,2633,63
8.1.0,swarm,r2,10000,0,0,0,0,1130,8,1485,2623,71
8.1.0,swarm,r3,10000,0,0,0,0,1146,4,1443,2593,64
8.1.0,kconfig,r1,10000,0,0,0,0,1193,10,1228,2431,92
8.1.0,kconfig,r2,10000,0,0,0,0,1186,6,1285,2477,83
8.1.0,kconfig,r3,10000,0,0,0,0,1191,9,1293,2493,90
9.1.0,default,r1,10000,0,0,0,0,14,0,1275,1289,1
9.1.0,default,r2,10000,0,0,0,0,15,0,1215,1230,0
9.1.0,default,r3,10000,0,0,0,0,10,0,1250,1260,0
9.1.0,swarm,r1,10000,0,0,0,0,1133,7,1494,2634,63
9.1.0,swarm,r2,10000,0,0,0,0,1143,8,1471,2622,76
9.1.0,swarm,r3,10000,0,0,0,0,1152,4,1438,2594,69
9.1.0,kconfig,r1,10000,0,0,0,0,1218,10,1204,2432,96
9.1.0,kconfig,r2,10000,0,0,0,0,1206,6,1265,2477,90
9.1.0,kconfig,r3,10000,0,0,0,0,1203,9,1280,2492,98
trunk,default,r1,10000,0,0,0,0,52,0,1237,1289,0
trunk,default,r2,10000,0,0,0,0,50,0,1180,1230,1
trunk,default,r3,10000,0,0,0,0,33,0,1227,1260,0
trunk,swarm,r1,10000,0,0,0,0,1413,6,1214,2633,63
trunk,swarm,r2,10000,0,0,0,0,1404,5,1210,2619,76
trunk,swarm,r3,10000,0,0,0,0,1414,3,1175,2592,70
trunk,kconfig,r1,10000,0,0,0,0,1369,8,1053,2430,98
trunk,kconfig,r2,10000,0,0,0,0,1354,6,1115,2475,92
trunk,kconfig,r3,10000,0,0,0,0,1354,7,1129,2490,99
