VR,ST,TI,C0,C3,C03,TC,T0,T3,T03,TT,MC
4.8.2,default,10000,0,0,0,0,11,0,1278,1289,0
4.8.2,swarm,10000,60,65,4,129,1216,19,1413,2648,59
4.8.2,kconfig,10000,44,58,5,107,1277,16,1218,2511,79
5.4.0,default,10000,0,0,0,0,12,0,1277,1289,1
5.4.0,swarm,10000,0,0,0,0,1216,8,1438,2662,66
5.4.0,kconfig,10000,0,0,0,0,1282,7,1238,2527,87
6.1.0,default,10000,0,0,0,0,15,0,1275,1290,1
6.1.0,swarm,10000,0,0,0,0,1242,7,1410,2659,67
6.1.0,kconfig,10000,0,0,0,0,1306,6,1205,2517,86
7.1.0,default,10000,0,0,0,0,14,0,1275,1289,1
7.1.0,swarm,10000,0,0,0,0,1132,8,1498,2638,70
7.1.0,kconfig,10000,0,0,0,0,1193,9,1294,2496,88
8.1.0,default,10000,0,0,0,0,14,0,1275,1289,1
8.1.0,swarm,10000,0,0,0,0,1130,8,1485,2623,71
8.1.0,kconfig,10000,0,0,0,0,1193,10,1228,2431,92
9.1.0,default,10000,0,0,0,0,14,0,1275,1289,1
9.1.0,swarm,10000,0,0,0,0,1143,8,1471,2622,76
9.1.0,kconfig,10000,0,0,0,0,1203,9,1280,2492,98
trunk,default,10000,0,0,0,0,50,0,1180,1230,1
trunk,swarm,10000,0,0,0,0,1404,5,1210,2619,76
trunk,kconfig,10000,0,0,0,0,1354,7,1129,2490,99
