ts,vn,per,num
kconfig,710,60.00,10
kconfig,710,16.03,312
kconfig,710,0.00,20
kconfig,710,37.50,16
kconfig,710,64.29,28
kconfig,710,83.33,72
kconfig,710,42.86,14
kconfig,710,100.00,6
kconfig,710,100.00,22
kconfig,710,0.00,44
kconfig,710,87.16,1604
kconfig,710,100.00,24
kconfig,710,100.00,10
kconfig,710,100.00,4
kconfig,710,100.00,12
kconfig,710,0.00,4
kconfig,710,100.00,4
kconfig,710,28.57,28
kconfig,710,0.00,8
kconfig,710,0.00,10
kconfig,710,29.66,236
kconfig,710,100.00,4
kconfig,710,0.74,811
kconfig,710,0.00,14
kconfig,710,16.67,12
kconfig,710,6.02,498
kconfig,710,0.00,20
kconfig,710,0.00,12
kconfig,710,0.00,46
kconfig,710,0.00,10
kconfig,710,0.00,2
kconfig,710,0.00,48
kconfig,710,0.00,4
kconfig,710,0.00,48
kconfig,710,0.00,2
kconfig,710,0.00,16
kconfig,710,0.00,64
kconfig,710,0.00,6
kconfig,710,0.00,14
kconfig,710,0.00,22
kconfig,710,0.00,2
kconfig,710,0.00,10
kconfig,710,0.00,6
kconfig,710,27.73,238
kconfig,710,0.00,20
kconfig,710,0.00,8
kconfig,710,95.83,48
kconfig,710,60.45,268
kconfig,710,100.00,2
kconfig,710,100.00,2
kconfig,710,0.00,436
kconfig,710,0.00,2
kconfig,710,0.00,4
kconfig,710,0.00,14
kconfig,710,0.00,520
kconfig,710,0.00,32
kconfig,710,0.00,418
kconfig,710,0.00,6
kconfig,710,0.00,84
kconfig,710,0.00,50
kconfig,710,0.00,6
kconfig,710,0.00,16
kconfig,710,0.00,4
kconfig,710,0.00,12
kconfig,710,0.00,14
kconfig,710,0.00,2
kconfig,710,55.86,1015
kconfig,710,0.00,106
kconfig,710,0.00,8
kconfig,710,0.00,100
kconfig,710,0.00,74
kconfig,710,0.00,8
kconfig,710,0.00,6
kconfig,710,0.00,4
kconfig,710,0.00,2
kconfig,710,50.00,4
kconfig,710,100.00,4
kconfig,710,20.00,40
kconfig,710,0.00,16
kconfig,710,82.50,640
kconfig,710,28.57,14
kconfig,710,18.62,376
kconfig,710,0.00,14
kconfig,710,0.80,498
kconfig,710,0.00,40
kconfig,710,0.00,54
kconfig,710,0.00,2
kconfig,710,0.00,22
kconfig,710,0.00,4
kconfig,710,0.00,6
kconfig,710,0.00,8
kconfig,710,0.00,10
