ts,vn,per,num
kconfig,540,73.91,115
kconfig,540,78.95,95
kconfig,540,85.68,1138
kconfig,540,52.38,21
kconfig,540,52.17,69
kconfig,540,37.88,198
kconfig,540,100.00,17
kconfig,540,100.00,2
kconfig,540,100.00,6
kconfig,540,100.00,45
kconfig,540,100.00,5
kconfig,540,0.00,61
kconfig,540,100.00,16
kconfig,540,75.00,8
kconfig,540,100.00,7
kconfig,540,100.00,11
kconfig,540,100.00,20
kconfig,540,0.00,4
kconfig,540,0.00,2
kconfig,540,10.00,30
kconfig,540,0.00,8
kconfig,540,0.00,126
kconfig,540,85.00,80
kconfig,540,1.68,1014
kconfig,540,26.29,232
kconfig,540,62.50,8
kconfig,540,0.00,54
kconfig,540,0.00,14
kconfig,540,0.00,5
kconfig,540,0.00,157
kconfig,540,0.00,3
kconfig,540,0.00,2
kconfig,540,0.00,4
kconfig,540,0.00,3
kconfig,540,0.00,20
kconfig,540,0.00,2
kconfig,540,0.00,22
kconfig,540,0.00,27
kconfig,540,0.00,74
kconfig,540,0.00,10
kconfig,540,0.00,6
kconfig,540,0.00,29
kconfig,540,0.00,6
kconfig,540,0.00,12
kconfig,540,87.67,73
kconfig,540,56.10,123
kconfig,540,61.06,226
kconfig,540,75.00,4
kconfig,540,100.00,6
kconfig,540,70.00,10
kconfig,540,0.00,5
kconfig,540,1.05,667
kconfig,540,0.00,14
kconfig,540,0.00,256
kconfig,540,0.00,9
kconfig,540,0.00,5
kconfig,540,0.00,2
kconfig,540,0.00,6
kconfig,540,0.00,96
kconfig,540,0.00,33
kconfig,540,0.00,10
kconfig,540,0.00,12
kconfig,540,0.00,5
kconfig,540,0.00,20
kconfig,540,0.00,15
kconfig,540,0.00,74
kconfig,540,0.00,10
kconfig,540,0.00,19
kconfig,540,0.00,2
kconfig,540,57.61,1038
kconfig,540,0.00,144
kconfig,540,1.14,175
kconfig,540,0.00,5
kconfig,540,0.00,6
kconfig,540,0.00,5
kconfig,540,0.00,3
kconfig,540,0.00,2
kconfig,540,93.10,29
kconfig,540,0.00,2
kconfig,540,0.00,5
kconfig,540,0.00,7
kconfig,540,0.00,2
kconfig,540,0.00,56
kconfig,540,0.00,105
kconfig,540,62.50,8
kconfig,540,75.22,912
kconfig,540,11.32,53
kconfig,540,2.17,600
kconfig,540,0.00,89
kconfig,540,0.00,127
kconfig,540,0.00,5
kconfig,540,0.00,8
kconfig,540,0.00,48
kconfig,540,0.00,5
kconfig,540,0.00,16
kconfig,540,0.00,35
kconfig,540,0.00,44
kconfig,540,0.00,19
kconfig,540,0.00,2
kconfig,540,0.00,10
kconfig,540,0.00,2
kconfig,540,0.00,22
kconfig,540,31.00,200
kconfig,540,14.46,83
kconfig,540,0.00,47
kconfig,540,0.00,6
kconfig,540,12.00,4982
kconfig,540,0.00,3
kconfig,540,0.00,17
kconfig,540,0.00,28
kconfig,540,57.14,7
kconfig,540,0.00,4
kconfig,540,89.47,38
kconfig,540,70.00,10
kconfig,540,0.00,20
kconfig,540,37.50,8
kconfig,540,33.33,9
kconfig,540,66.67,3
kconfig,540,0.00,6
kconfig,540,0.00,45
kconfig,540,0.00,597
kconfig,540,0.00,2
kconfig,540,0.00,44
kconfig,540,0.00,4
kconfig,540,0.00,7
kconfig,540,0.00,11
kconfig,540,28.57,21
kconfig,540,82.28,79
kconfig,540,66.67,12
kconfig,540,6.25,48
kconfig,540,42.79,1830
kconfig,540,28.57,14
kconfig,540,100.00,5
kconfig,540,0.00,2
kconfig,540,0.00,12
kconfig,540,57.14,7
kconfig,540,100.00,4
kconfig,540,95.24,21
kconfig,540,70.00,10
kconfig,540,100.00,20
kconfig,540,40.00,15
kconfig,540,32.00,25
kconfig,540,0.00,91
kconfig,540,0.00,9
kconfig,540,0.00,5
kconfig,540,0.00,38
kconfig,540,0.00,4
kconfig,540,0.00,2
kconfig,540,80.72,83
kconfig,540,79.23,549
kconfig,540,75.00,8
kconfig,540,75.00,16
kconfig,540,97.70,87
kconfig,540,100.00,33
kconfig,540,0.00,5
kconfig,540,0.00,6
kconfig,540,70.29,239
kconfig,540,33.33,12
kconfig,540,93.75,32
kconfig,540,0.00,34
kconfig,540,83.27,1363
kconfig,540,0.00,26
kconfig,540,0.00,6
kconfig,540,0.00,45
kconfig,540,0.00,5
kconfig,540,100.00,45
kconfig,540,92.50,40
kconfig,540,75.00,8
kconfig,540,100.00,2
kconfig,540,0.00,2
kconfig,540,24.14,29
kconfig,540,45.28,2699
kconfig,540,100.00,44
kconfig,540,0.00,8
kconfig,540,100.00,31
kconfig,540,78.26,161
kconfig,540,10.89,101
kconfig,540,71.43,14
kconfig,540,60.00,5
kconfig,540,0.00,2
kconfig,540,100.00,4
kconfig,540,0.00,4
kconfig,540,100.00,5
kconfig,540,100.00,11
kconfig,540,75.00,8
kconfig,540,100.00,2
kconfig,540,26.36,220
kconfig,540,0.00,2
kconfig,540,0.00,3
kconfig,540,0.00,17
kconfig,540,100.00,4
kconfig,540,100.00,28
kconfig,540,67.10,231
kconfig,540,83.33,18
kconfig,540,93.48,46
kconfig,540,50.00,4
kconfig,540,100.00,4
kconfig,540,84.38,32
kconfig,540,0.00,10
kconfig,540,0.00,64
kconfig,540,0.00,10
kconfig,540,89.29,140
kconfig,540,11.67,60
kconfig,540,62.50,8
kconfig,540,59.61,510
kconfig,540,100.00,2
kconfig,540,0.00,8
kconfig,540,100.00,21
kconfig,540,0.00,2
kconfig,540,80.56,72
kconfig,540,64.08,618
kconfig,540,62.50,8
kconfig,540,0.00,8
kconfig,540,100.00,31
kconfig,540,0.00,80
kconfig,540,0.00,6
kconfig,540,75.38,195
kconfig,540,100.00,2
kconfig,540,93.33,15
kconfig,540,100.00,19
kconfig,540,0.00,2
kconfig,540,0.00,3
kconfig,540,100.00,34
kconfig,540,45.35,86
kconfig,540,70.59,17
kconfig,540,93.06,144
kconfig,540,81.64,207
kconfig,540,0.00,8
kconfig,540,62.09,786
kconfig,540,100.00,7
kconfig,540,100.00,7
kconfig,540,88.31,77
kconfig,540,0.00,16
kconfig,540,76.67,30
kconfig,540,100.00,2
kconfig,540,50.00,12
kconfig,540,0.00,4
kconfig,540,0.00,2
kconfig,540,9.32,118
kconfig,540,83.91,727
kconfig,540,0.00,6
kconfig,540,0.00,27
kconfig,540,21.54,65
kconfig,540,100.00,12
kconfig,540,86.36,44
kconfig,540,95.35,43
kconfig,540,0.00,2
kconfig,540,50.14,2114
kconfig,540,54.63,108
kconfig,540,62.50,8
kconfig,540,92.86,14
kconfig,540,0.00,5
kconfig,540,0.00,8
kconfig,540,83.33,12
kconfig,540,0.00,5
kconfig,540,33.33,51
kconfig,540,100.00,34
kconfig,540,67.41,224
kconfig,540,0.00,17
kconfig,540,0.00,41
kconfig,540,0.00,8
kconfig,540,0.00,25
kconfig,540,50.00,10
kconfig,540,60.00,5
kconfig,540,0.00,12
kconfig,540,100.00,13
kconfig,540,66.67,39
kconfig,540,70.00,10
kconfig,540,50.68,73
kconfig,540,0.00,8
kconfig,540,0.00,8
kconfig,540,67.23,476
kconfig,540,6.25,64
kconfig,540,0.00,5
kconfig,540,65.52,29
kconfig,540,0.00,10
kconfig,540,100.00,7
kconfig,540,100.00,34
kconfig,540,70.59,17
kconfig,540,71.85,238
kconfig,540,59.55,89
kconfig,540,0.00,10
kconfig,540,0.00,23
kconfig,540,40.93,1620
kconfig,540,0.00,3
kconfig,540,100.00,5
kconfig,540,0.00,8
kconfig,540,0.00,13
kconfig,540,75.95,79
kconfig,540,76.92,13
kconfig,540,50.69,144
kconfig,540,57.14,14
kconfig,540,0.00,2
kconfig,540,35.48,31
kconfig,540,0.00,12
kconfig,540,46.72,122
kconfig,540,25.37,134
kconfig,540,0.00,10
kconfig,540,39.35,1052
kconfig,540,100.00,1
kconfig,540,0.00,7
kconfig,540,75.00,4
kconfig,540,0.00,2
kconfig,540,75.00,8
kconfig,540,44.90,98
kconfig,540,0.00,2
kconfig,540,0.00,14
kconfig,540,0.00,60
kconfig,540,0.00,12
kconfig,540,0.00,2
kconfig,540,0.00,5
kconfig,540,64.29,14
kconfig,540,0.00,199
kconfig,540,100.00,1
kconfig,540,0.00,6
kconfig,540,0.00,2
kconfig,540,0.00,11
kconfig,540,30.90,780
kconfig,540,25.61,82
kconfig,540,84.03,5880
kconfig,540,76.09,92
kconfig,540,0.00,47
kconfig,540,0.00,4
kconfig,540,0.00,6
kconfig,540,0.00,50
kconfig,540,0.00,5
kconfig,540,0.00,3
kconfig,540,75.00,12
kconfig,540,75.00,8
kconfig,540,100.00,4
kconfig,540,100.00,8
kconfig,540,100.00,9
kconfig,540,96.55,29
kconfig,540,100.00,23
kconfig,540,19.15,47
kconfig,540,64.71,17
kconfig,540,83.39,289
kconfig,540,0.00,1
kconfig,540,0.00,6
kconfig,540,0.00,48
kconfig,540,0.00,5
kconfig,540,0.00,5
kconfig,540,11.11,18
kconfig,540,3.21,249
