i,cfile,argc,arrays,bitfields,comma_operators,compound_assignment,consts,divs,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,float,main,math64,inline_function,muls,safe_math,packed_struct,paranoid,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables,builtins
1,4871.c,0,0,0,55,21,0,0,125,0,0,0,3,0,4,0,0,0,0,1,1,0,136,0,0,0,0,0,0,0,0,0,1,0
2,6344.c,1,0,0,720,230,0,0,222,0,0,0,0,0,23,6,56,0,0,1,1,10,107,0,0,0,1,0,0,0,0,0,1,18
3,3522.c,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1654.c,1,0,0,352,150,0,0,145,0,0,0,0,0,11,6,29,0,0,1,1,14,66,0,0,0,1,0,0,0,0,0,1,18
5,4032.c,0,0,6,383,51,27,0,48,0,0,4,6,0,10,4,0,0,0,1,1,10,1,0,0,0,1043,3,3,0,0,19,1,11
6,1285.c,1,51,1,3057,65,19,0,74,8,8,39,6,10,18,4,15,16,21,1,1,10,0,179,0,0,1,0,1,2,0,0,39,16
7,6795.c,1,39,0,1612,16,18,0,19,0,0,28,1,2,1,3,10,31,11,1,1,14,0,32,0,2,99,0,0,22,9,8,53,6
8,3567.c,1,44,0,2174,36,19,0,174,0,1,0,0,26,33,0,22,29,25,1,0,10,0,779,0,0,1,0,1,0,0,0,1,0
9,6301.c,0,0,1,133,17,0,0,99,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,34,0
10,4834.c,0,105,0,4337,51,0,25,172,0,0,0,0,0,18,12,0,1,73,1,43,0,0,0,0,0,312,0,0,0,0,0,1,16
11,4077.c,0,97,0,4965,108,0,0,365,0,0,0,0,0,46,6,0,0,0,1,1,14,1,0,0,0,0,0,0,0,0,0,1,18
12,1611.c,0,0,12,612,31,0,0,121,0,0,0,0,0,12,0,0,0,0,1,1,0,1,0,9,0,0,4,1,0,0,0,19,0
13,9539.c,0,0,0,123,29,0,0,94,0,0,0,0,0,14,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,28,15
14,695.c,0,0,0,156,21,0,0,80,0,0,0,0,0,6,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,16
15,7795.c,0,0,0,85,27,0,0,118,0,0,0,0,0,10,0,0,0,0,1,1,0,117,0,0,0,0,0,0,0,0,0,1,0
16,2522.c,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17,7344.c,1,31,13,1188,15,14,0,41,5,0,0,1,3,3,10,2,5,14,1,16,4,0,46,0,4,105,2,1,18,2,6,35,4
18,5871.c,1,4,3,74,3,1,0,6,0,0,6,0,0,0,0,2,1,2,1,2,2,0,9,3,0,2,1,0,0,0,0,4,0
19,5032.c,1,0,1,265,29,44,0,100,0,0,14,0,0,12,5,14,16,113,1,0,10,0,176,0,53,1672,0,1,0,0,32,1,15
20,244.c,0,0,0,501,0,0,0,78,4,1,0,0,0,16,0,0,0,0,1,0,0,0,495,0,0,0,0,0,0,0,0,1,0
21,8539.c,1,97,3,6114,59,88,0,353,1,7,0,5,28,43,0,20,21,0,1,1,6,0,490,3,136,266,1,0,0,0,67,37,1
22,5834.c,1,94,4,5613,186,24,0,226,24,18,68,25,33,55,0,43,45,37,1,1,10,0,1075,6,0,1,2,0,0,0,0,85,0
23,7301.c,0,0,5,322,24,0,0,74,0,0,0,0,0,9,6,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,0,12,15
24,2567.c,0,104,0,4439,135,0,0,447,0,0,0,0,0,64,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0
25,201.c,1,74,0,5250,53,0,0,287,11,5,0,0,26,66,61,20,39,38,1,198,4,0,853,0,0,1,0,0,6,0,0,31,18
26,5077.c,1,0,0,575,0,0,0,74,4,1,2,0,15,8,0,16,14,26,1,0,0,0,524,0,0,1,0,0,0,0,0,15,0
27,8214.c,0,0,0,58,23,0,0,84,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,7469.c,0,98,0,4896,63,66,0,114,7,13,36,8,6,24,49,0,0,68,1,88,0,0,174,0,35,177,0,0,0,0,40,1,15
29,569.c,0,0,0,287,29,0,0,98,0,0,0,0,0,9,6,0,0,0,1,1,0,37,0,0,0,329,0,0,0,0,0,1,17
30,8680.c,1,184,1,11288,151,93,0,305,21,16,0,0,12,41,33,44,41,48,1,114,12,0,253,3,0,431,2,1,74,21,54,237,16
31,8251.c,1,0,0,571,64,0,0,115,9,10,15,0,18,13,6,32,33,21,1,0,8,0,395,0,0,1,0,0,4,0,0,53,17
32,9214.c,1,155,0,7020,91,83,0,189,18,18,71,11,20,41,0,47,30,125,1,0,12,0,435,0,29,289,0,0,0,0,50,1,1
33,9251.c,0,0,0,154,34,0,0,125,0,0,0,0,0,10,6,0,0,0,1,1,0,66,0,0,0,0,0,0,0,0,0,1,18
34,6469.c,0,0,0,603,165,0,0,164,0,0,0,0,0,14,6,0,0,0,1,1,0,71,0,0,0,0,0,5,0,0,0,35,18
35,9680.c,0,0,0,667,0,0,0,117,0,0,0,0,0,18,0,0,0,0,1,1,0,0,638,0,0,0,0,0,0,0,0,1,0
36,1179.c,0,0,0,446,0,10,0,83,2,2,0,2,9,10,48,6,13,16,1,83,0,0,293,0,0,0,0,0,2,0,0,32,18
37,6494.c,0,0,0,52,31,0,0,139,0,0,0,0,0,20,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
38,1184.c,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0
39,6806.c,1,113,1,4486,48,72,0,100,8,11,68,15,5,23,34,40,46,27,1,90,16,0,122,0,35,270,0,3,52,6,54,145,15
40,1555.c,1,233,0,9226,160,99,0,217,13,19,108,18,9,27,63,66,66,109,1,191,8,0,272,0,57,512,0,0,0,0,67,1,19
41,4333.c,0,50,0,1570,46,47,0,46,0,0,31,7,0,12,2,0,0,0,1,3,8,8,0,0,15,167,0,0,21,4,28,60,8
42,6045.c,0,0,0,224,20,0,0,71,0,0,0,0,0,11,38,0,0,0,1,154,0,1,0,0,0,113,0,0,0,0,0,1,0
43,3623.c,0,0,0,204,26,0,0,128,0,0,0,0,0,8,6,0,0,0,1,1,0,63,0,0,0,0,0,0,0,0,0,1,17
44,1982.c,1,170,0,10876,125,103,0,223,17,19,126,9,5,42,43,26,52,54,1,103,8,0,239,0,82,431,1,1,43,19,60,214,17
45,9638.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,4376.c,1,0,0,169,21,30,0,47,0,0,8,0,0,12,20,8,5,18,1,43,14,0,109,0,12,726,0,0,0,0,12,1,12
47,1510.c,1,0,0,369,33,59,0,142,12,0,0,0,0,15,8,0,0,0,1,6,8,0,0,0,0,220,0,0,10,7,36,44,17
48,6843.c,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
49,3666.c,0,0,0,601,153,0,0,160,0,0,0,0,0,25,6,0,0,0,1,1,0,81,0,0,0,0,0,2,7,0,0,35,17
50,6000.c,1,233,0,9115,196,95,0,324,25,23,0,0,16,52,57,85,55,47,1,216,16,0,397,0,0,572,0,0,66,10,61,153,18
51,145.c,0,98,2,5244,56,91,0,168,0,0,0,0,0,19,0,0,0,0,1,1,0,0,0,0,0,308,1,2,0,0,56,1,0
52,5333.c,0,0,0,644,0,16,0,79,2,0,0,0,9,9,42,22,13,11,1,92,0,0,312,0,0,0,0,0,1,0,0,33,18
53,7806.c,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
54,2623.c,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0
55,7045.c,1,0,0,468,54,0,0,79,8,14,11,0,8,15,6,26,19,24,1,2,12,0,278,0,0,1,0,0,13,0,0,50,18
56,906.c,1,164,30,7548,59,73,0,139,13,11,59,9,23,31,0,97,19,36,1,0,6,0,324,15,28,329,6,2,0,0,47,1,1
